,acc_05-dims
738,0.13000186462800672
739,0.11962920540209372
740,0.1272528701952532
741,0.13092352361418186
742,0.15632508457419889
743,0.1406408992834501
744,0.12768972589968303
745,0.1496230787672145
746,0.14250019978157216
747,0.1510135585093631
748,0.17152446658320236
749,0.15168482459177968
750,0.011981566820276499
751,0.001843318
752,0.007842093
753,0.007607682
754,0.003686636
755,0.005529954
756,0.007373272
757,0.005529954
758,0.010388641751684824
759,0.003686636
760,0.019605231613435976
761,0.012903225806451613
762,0.010138248847926268
763,0.009685411
764,0.006451613
765,0.024229509070083373
766,0.005077116
767,0.016589861751152075
768,0.006233185
769,0.014778508830345488
770,0.003233798
771,0.003686636
772,0.018902000479475774
773,0.002999387
774,0.012903225806451613
775,0.011059907834101382
776,0.006451613
777,0.003921046
778,0.008294931
779,0.002312139
780,0.007154844
781,0.00921659
782,0.006686023
783,0.008529341
784,0.005764364
785,0.006920434
786,0.007373272
787,0.004155457
788,0.020074052369409446
789,0.006920434
790,0.002999387
791,0.003921046
792,0.008529341
793,0.014528115926586932
794,0.004608295
795,0.014293705548600197
796,0.008294931
797,0.014746543778801843
798,0.007373272
799,0.010154231
800,0.015668203
801,0.010154231
802,0.00921659
803,0.012903225806451613
804,0.003921046
805,0.018214751871287394
806,0.027196931355051808
807,0.032492475
808,0.020745318451826002
809,0.021432567060014385
810,0.028821821475187127
811,0.039428891
812,0.046818145
813,0.013824884792626729
814,0.012215977198263232
815,0.019589249087664153
816,0.001843318
817,0.003468208
818,0.020058069843637623
819,0.029040249
820,0.016605844
821,0.018449162249274127
822,0.020979729
823,0.040100157161503426
824,0.039412909
825,0.029993873365120806
826,0.042662689
827,0.028134572866998747
828,0.044271596387949176
829,0.061079886
830,0.053253776
831,0.044037186
832,0.07101569
833,0.027900162489012014
834,0.035726272608614586
835,0.016137023520950425
836,0.023510295410351344
837,0.046802162968487784
838,0.026056844516661782
839,0.041506619
840,0.066423377
841,0.095010788
842,0.057409232572387524
843,0.05444181
844,0.051895261181108654
845,0.085996644
846,0.048475001
847,0.074515863
848,0.083247649
849,0.075437522
850,0.065517701
851,0.083061186
852,0.053972989531445616
853,0.05559788
854,0.036227058
855,0.024463919
856,0.033462081
857,0.027681735
858,0.036461468794118435
859,0.033211689
860,0.039428891079086856
861,0.025838416664446872
862,0.031352388
863,0.029977891
864,0.035523827282171495
865,0.028853786526730773
866,0.046599717642044694
867,0.035305399
868,0.025822434
869,0.012919208332223436
870,0.012700780480008523
871,0.014075277696385285
872,0.018230734397059214
873,0.007858075
874,0.010607069603899736
875,0.000921659
876,0.015449774912762046
877,0.022370209
878,0.005311526
879,0.010388641751684824
880,0.006233185
881,0.013388029088196904
882,0.012215977198263232
883,0.008529341
884,0.020542873125382916
885,0.013824884792626729
886,0.002077728
887,0.003233798
888,0.007842093
889,0.006702006
890,0.009685411
891,0.010372659225913001
892,0.015449775
893,0.009451
894,0.009466983
895,0.012231959724035055
896,0.016371434
897,0.000921659
898,0.017527503
